LpId,LpTypeId,externalCameraId,x,y,Date,Hour,,,
1036887,4,33_81,35.031632,31.945002,12/19/2023,05:57.9,,,No
11090503,1,LPR-HIK-JER-161,35.263855,31.783369,12/19/2023,14:16.5,,,No
1002939,1,LPR-HIK-SHY-29-1,35.510212,32.126118,12/19/2023,08:50.6,,,No
1002939,4,9904_02,NULL,NULL,12/19/2023,08:57.3,,,No
1128237,1,LPR-HIK-JER-13,35.19439,31.80083,12/19/2023,15:11.7,,,No
1053837,4,184_93,35.13282,32.113049,12/19/2023,18:43.0,,,No
1054379,4,30_901,35.157733,31.704161,12/19/2023,20:44.0,,,No
1064034,1,LPR-HIK-JER-28-1,35.224568,31.853262,12/19/2023,27:03.4,,,No
1165768,1,LPR-HIK-JER-77,35.1227,31.7134,12/19/2023,31:40.1,,,No
10884801,1,LPR-HIK-MKZ-252,35.00765,32.10786,12/19/2023,15:08.7,,,No
1123433,1,LPR-HIK-JER-3,35.191073,31.72583,12/19/2023,34:30.4,,,No
11612103,1,LPR-HIK-JER-1,35.252192,31.827897,12/19/2023,35:44.6,,,No
1002939,1,LPR-HIK-SHY-25,35.463757,32.048606,12/19/2023,16:10.9,,,No
1002939,1,LPR-HIK-SHY-22-2,35.463311,32.046753,12/19/2023,16:22.1,,,No
1164666,1,LPR-HIK-JER-13,35.19439,31.80083,12/19/2023,42:32.6,,,No
1037731,1,LPR-HIK-JER-1,35.252192,31.827897,12/19/2023,43:46.3,,,No
1002939,4,4140_82,35.445775,32.022748,12/19/2023,18:40.3,,,No
1123433,4,201_92,35.15971613,31.68576269,12/19/2023,45:24.9,,,No
11395901,1,Site9WestRear1,35.11716428,31.65516009,12/19/2023,48:30.9,,,No
11318703,1,LPR-HIK-JER-27,35.17641,31.743485,12/19/2023,48:34.4,,,No
11395901,1,Site9NorthRear1,35.11632433,31.65582633,12/19/2023,48:40.8,,,No
11318703,1,LPR-HIK-JER-131,35.170835,31.742552,12/19/2023,49:14.4,,,No
11395901,4,159_93,35.106345,31.675219,12/19/2023,51:19.9,,,No
11395901,4,159_92,35.106345,31.675219,12/19/2023,51:23.3,,,No
1015661,1,LPR-HIK-JER-130-2,35.221492,31.860571,12/19/2023,52:23.2,,,No
1053837,4,34_90,35.1348,32.10277,12/19/2023,26:16.7,,,No
1015661,1,LPR-HIK-JER-130-1,35.221492,31.860571,12/19/2023,53:07.0,,,No
11395901,4,1168_82,35.0742,31.6693,12/19/2023,54:25.9,,,No
1139539,1,Site65111EastFront,35.140477,32.10947,12/19/2023,54:53.0,,,No
11612103,1,Site2-35152NorthFront,31.910856,35.250192,12/19/2023,54:58.3,,,Yes
11395901,1,LPR-HIK-JER-68,35.05324,31.67078,12/19/2023,56:16.1,,,No
1029087,4,136_93,35.289894,31.767723,12/19/2023,57:20.4,,,No
1139539,1,Site66KikarFront1,35.16501,32.10894,12/19/2023,57:32.1,,,No
11612103,4,0639_91,35.2378992,31.9184311,12/19/2023,57:35.3,,,No
1139539,1,Site66SouthWestFront,35.16486,32.109089,12/19/2023,57:36.9,,,No
11395901,1,LPR-HIK-JER-83-1,35.0062,31.6753,12/19/2023,00:18.2,,,No
1022939,1,LPR-HIK-JER-161,35.263855,31.783369,12/19/2023,00:20.4,,,No
1139539,1,Site66WestFront1,35.165001,32.109673,12/19/2023,06:35.8,,,No
1030385,4,992_901,35.004,31.378,12/19/2023,13:50.0,,,No
1015661,1,LPR-HIK-JER-28-1,35.224568,31.853262,12/19/2023,17:16.3,,,No
1030385,1,LPR-HIK-DRM-157,34.934131,31.345369,12/19/2023,17:59.1,,,No
1030385,1,LPR-HIK-DRM-6,34.933608,31.343694,12/19/2023,18:07.6,,,No
1000963,1,LPR-HIK-JER-70,35.289782,31.784179,12/19/2023,44:41.7,,,No
1060371,4,30_901,35.157733,31.704161,12/19/2023,20:54.2,,,No
11169003,1,LPR-HIK-JER-70,35.289782,31.784179,12/19/2023,23:27.7,,,No
1029087,4,8222_92,35.49027464,31.79927428,12/19/2023,24:57.2,,,No
1000963,1,LPR-HIK-JER-58-1,35.263174,31.783818,12/19/2023,47:01.1,,,No
11169003,1,LPR-HIK-JER-159,35.263855,31.783369,12/19/2023,25:30.1,,,No
1022939,1,LPR-HIK-JER-13,35.19439,31.80083,12/19/2023,33:05.0,,,No
11329903,1,LPR-HIK-JER-32-1,35.216183,31.860145,12/19/2023,35:15.8,,,No
11329903,1,LPR-HIK-JER-26,35.17698,31.87185,12/19/2023,37:57.3,,,No
1053837,4,34_90,35.1348,32.10277,12/19/2023,38:40.2,,,No
11248501,4,201_93,35.15971613,31.68576269,12/19/2023,42:36.0,,,No
