ishitId,ExternalCameraId,Name,cameraType,brigadeName,siteName,x,y,Source
9403,9219_91,מכביש 5 לכיוון פדואל (5 מגה)(נתיקות),LPR,חטמר אפרים,צומת ברוקין ,35.104216,32.0922273,נתיקות - הרכשה
9404,9219_92,מפדואל לכיוון כביש 5 (5 מגה)(נתיקות),LPR,חטמר אפרים,צומת ברוקין ,35.104216,32.0922273,נתיקות - הרכשה
11304,Site65111EastFront,הנוסעים למזרח מכיוון ברקן - נתיב ימני (קדמי),LPR,חטמר אפרים,צומת גיתאי אבישר,35.140477,32.10947,HTS - הרכשה
11305,Site65112EastFront,הנוסעים למזרח מכיוון ברקן - נתיב שמאלי (קדמי),LPR,חטמר אפרים,צומת גיתאי אבישר,35.1388079,32.1090917,HTS - הרכשה
11311,Site65162EastRear,הנוסעים מזרחה לכיוון אריאל - נתיב ימני (אחורי),LPR,חטמר אפרים,צומת גיתאי אבישר,35.142064,32.109535,HTS - הרכשה
11310,Site65161EastRear,הנוסעים מזרחה לכיוון אריאל - נתיב שמאלי (אחורי),LPR,חטמר אפרים,צומת גיתאי אבישר,35.1420641,32.1095346,HTS - הרכשה
11306,Site65121WestFront,הנוסעים מערבה - נתיב השתלבות (קדמי),LPR,חטמר אפרים,צומת גיתאי אבישר,35.1386831,32.1093786,HTS - הרכשה
11307,Site65122WestFront,הנוסעים מערבה - נתיב ימני (קדמי),LPR,חטמר אפרים,צומת גיתאי אבישר,35.1386831,32.1093786,HTS - הרכשה
11308,Site65123WestFront,הנוסעים מערבה - נתיב שמאלי (קדמי),LPR,חטמר אפרים,צומת גיתאי אבישר,35.1386831,32.1093786,HTS - הרכשה
11309,Site65131NorthFront,הפונים ממזרח לצפון- (ציר אנקה),LPR,חטמר אפרים,צומת גיתאי אבישר,35.1402399,32.1099775,HTS - הרכשה
11677,Site65142NorthFront,הפונים ממערב לצפון - (ציר אנקה),LPR,חטמר אפרים,צומת גיתאי אבישר,32.109977,35.1402399,HTS - הרכשה
9556,141_90,לכיוון יקיר (7 מגה)(נתיקות),LPR,חטמר אפרים,צומת גיתאי אבישר,35.1377,32.1098,נתיקות - הרכשה
9325,94_91,יציאה מדיר איבזיע (7 מגה)(נתיקות),LPR,חטמר אפרים,צומת הפרסה ,35.11529839,31.92910145,נתיקות - הרכשה
9342,94_92,כניסה לדיר איבזיע (5 מגה)(נתיקות),LPR,חטמר אפרים,צומת הפרסה ,35.1153,31.929064,נתיקות - הרכשה
11668,184_92,ציר הנסיעה מכיוון צומת חארס לדרום (5 מגה)(נתיקות),LPR,חטמר אפרים,צומת חארס (45),35.13282,32.113049,נתיקות - הרכשה
11669,184_91,ציר הנסיעה מכיוון צומת חארס לצפון (5 מגה)(נתיקות),LPR,חטמר אפרים,צומת חארס (45),35.13282,32.113049,נתיקות - הרכשה
12204,184_93,ציר הנסיעה מצפון לצומת חארס (9 מגה)(נתיקות),LPR,חטמר אפרים,צומת חארס (45),35.13282,32.113049,נתיקות - הרכשה
11651,9142_82,יציאה וכניסה לכיכר מחלמיש (5 מגה)(נתיקות),LPR,חטמר אפרים,צומת חלמיש ,35.131297,32.010108,נתיקות - הרכשה
11652,9142_81,לכיוון נבי צלאח (5 מגה)(נתיקות),LPR,חטמר אפרים,צומת חלמיש ,35.131297,32.010108,נתיקות - הרכשה
12313,9142_84,לכיכר חלמיש (5 מגה)(נתיקות),LPR,חטמר אפרים,צומת חלמיש ,35.131297,32.010108,נתיקות - הרכשה
11650,9142_83,מהכיכר לכיוון מזרח (5 מגה)(נתיקות),LPR,חטמר אפרים,צומת חלמיש ,35.131297,32.010108,נתיקות - הרכשה
9137,34_90,מדרום לצפון (9 מגה)(נתיקות),LPR,חטמר אפרים,צומת יקיר לכיוון עמנואל,35.1348,32.10277,נתיקות - הרכשה
9138,3107_90,מצפון לדרום (9 מגה)(נתיקות),LPR,חטמר אפרים,צומת יקיר לכיוון רבבה,35.1344,32.1375,נתיקות - הרכשה
8902,80_81,יוצאים ונכנסים מנבי צלאח (9 מגה)(נתיקות),LPR,חטמר אפרים,צומת נבי צלאח ,35.128882,32.013941,נתיקות - הרכשה
12008,Site2-67EastFront,יציאה מנבי צלאח,LPR,חטמר אפרים,צומת נבי צלאח ,35.129223,32.012894,HTS - הרכשה
12006,Site2-67WestRear,כניסה לנבי צלאח,LPR,חטמר אפרים,צומת נבי צלאח ,35.128628,32.013691,HTS - הרכשה
8901,80_83,למגיעים מכיוון אום צפא (9 מגה)(נתיקות),LPR,חטמר אפרים,צומת נבי צלאח ,35.128882,32.013841,נתיקות - הרכשה
8903,80_82,לעולים מכיוון עאבוד (2 הנתיבים) (5 מגה)(נתיקות),LPR,חטמר אפרים,צומת נבי צלאח ,35.128882,32.013841,נתיקות - הרכשה
12007,Site2-67SouthRear,נסיעה לכיוון דיר אבו משעל (אחורי),LPR,חטמר אפרים,צומת נבי צלאח ,35.128552,32.01361,HTS - הרכשה
12009,Site2-67NorthFront,נסיעה מכיוון דיר אבו משעל (קדמי) לכיוון צומת נבי צלאח,LPR,חטמר אפרים,צומת נבי צלאח ,35.129354,32.012889,HTS - הרכשה
9324,51_92,יציאה מעאבוד (9 מגה)(נתיקות),LPR,חטמר אפרים,צומת עאבוד,35.0786269,32.012442,נתיקות - הרכשה
9343,51_91,מ/לכיוון עופרים (9 מגה)(נתיקות),LPR,חטמר אפרים,צומת עאבוד,35.079,32.012,נתיקות - הרכשה
11655,226_81,לכיוון בית אמין (5 מגה)(נתיקות),LPR,חטמר אפרים,צומת עזון עתמה ,35.016594,32.130912,נתיקות - הרכשה
11656,226_82,לכיוון עזון עתמה (5 מגה)(נתיקות),LPR,חטמר אפרים,צומת עזון עתמה ,35.016594,32.130912,נתיקות - הרכשה
11403,LPR-HIK-SHY-15-2,"צ. קרנ""ש כ. 55 למזרח מ-י",LPR,חטמר אפרים,"צומת קרנ""ש",35.06166,32.1841,משטרה - הרכשה
11402,LPR-HIK-SHY-15-1,"צ. קרנ""ש כ. 55 למערב מ-י",LPR,חטמר אפרים,"צומת קרנ""ש",35.06166,32.1841,משטרה - הרכשה
9326,187_82,ציר נסיעה לכיוון קדומים (5 מגה)(נתיקות),LPR,חטמר אפרים,"צומת קרנ""ש",35.098678,32.177414,נתיקות - הרכשה
9327,187_81,"ציר נסיעה מכיוון קדומים לקרנ""ש (5 מגה)(נתיקות)",LPR,חטמר אפרים,"צומת קרנ""ש",35.098678,32.177414,נתיקות - הרכשה
12580,210_902,יציאה משוקבא (3 מגה) (נתיקות),LPR,חטמר אפרים,צומת שוקבא,35.0487,31.98142,נתיקות - הרכשה
12581,210_901,כניסה לשוקבא (3 מגה) (נתיקות),LPR,חטמר אפרים,צומת שוקבא,35.0487,31.98142,נתיקות - הרכשה
7933,4138_92,מכיוון ביתוניא למחסום (9 מגה)(נתיקות),LPR,חטמר בנימין, מחסום בל ,35.10405,31.886365,נתיקות - הרכשה
7934,4138_93,מכיוון המחסום לביתוניא (3 מגה)(נתיקות),LPR,חטמר בנימין, מחסום בל ,35.10405,31.886365,נתיקות - הרכשה
