IshitId,ExternalCameraId,cameraType,Source,Name,IsDeleted,LastUpdateDate,folderName,siteName,brigadeName,x,y
11782,LPR-HIK-MKZ-7,LPR,משטרה - הרכשה,מעבר אליהו 109 מכחול,0,2023-09-13 16:41:45.743,עין הנץ,מעבר אליהו,חטמר אפרים,34.998396,32.184362
12631,LPR-HIK-MKZ-8,LPR,משטרה - הרכשה,"מעבר אליהו 109, מכחול צילום אחורי",0,2023-11-23 15:22:16.650,עין הנץ,מעבר אליהו,חטמר אפרים,35.000488,32.185502
11783,LPR-HIK-MKZ-143,LPR,משטרה - הרכשה,מעבר חוצה שומרון 110 מאדום,0,2022-10-13 15:08:27.716,עין הנץ,מעבר חוצה שומרון,חטמר אפרים,35.009664,32.108112
11784,LPR-HIK-MKZ-43,LPR,משטרה - הרכשה,מעבר חוצה שומרון 110 מכחול,0,2022-08-09 15:42:31.448,עין הנץ,מעבר חוצה שומרון,חטמר אפרים,35.00765,32.10786
12480,LPR-HIK-MKZ-252,LPR,משטרה - הרכשה,מעבר חוצה שומרון 110 מכחול - צילום אחורי,0,2023-10-15 09:46:57.710,עין הנץ,מעבר חוצה שומרון,חטמר אפרים,35.00765,32.10786
11797,LPR-HIK-MKZ-75,LPR,משטרה - הרכשה,מעבר חשמונאים 446 מאדום,0,2023-10-15 10:07:42.797,עין הנץ,מעבר חשמונאים,חטמר אפרים,35.032443,31.94204
11796,LPR-HIK-MKZ-23,LPR,משטרה - הרכשה,מעבר חשמונאים 446 מכחול,0,2023-10-17 20:16:12.094,עין הנץ,מעבר חשמונאים,חטמר אפרים,35.0333763199698,31.9405414899821
11785,LPR-HIK-MKZ-19,LPR,משטרה - הרכשה,מעבר מכבים 443 מאדום 1+2,0,2022-08-09 15:42:50.991,עין הנץ,מעבר מכבים,חטמר אפרים,35.043621,31.896993
11787,LPR-HIK-MKZ-20,LPR,משטרה - הרכשה,מעבר מכבים 443 מאדום 3+4,0,2022-08-09 15:43:02.792,עין הנץ,מעבר מכבים,חטמר אפרים,35.043621,31.896993
11790,LPR-HIK-MKZ-57,LPR,משטרה - הרכשה,מעבר מכבים 443 מכחול,0,2022-08-09 15:43:15.988,עין הנץ,מעבר מכבים,חטמר אפרים,35.04276,31.897425
