LpId,LpTypeId,externalCameraId,x,y,Date,Hour
11028103,1,LPR-HIK-JER-160,35.263806,31.783301,2023-12-19,07:57:07.783
1055532,4,227_83,35.504709,32.325945,2023-12-19,08:00:58.921
1055532,4,9910_02,35.504576,32.325731,2023-12-19,08:01:02.629
1026167,1,LPR-HIK-SHY-5,34.997712,32.18796,2023-12-19,08:01:03.571
1098431,1,LPR-HIK-JER-13,35.19439,31.80083,2023-12-19,08:02:46.014
1000963,1,LPR-HIK-JER-38,35.261584,31.783971,2023-12-19,15:55:52.146
1000963,1,LPR-HIK-JER-126,35.263757,31.783185,2023-12-19,15:56:03.232
1041676,1,Site65122WestFront,35.1386831,32.1093786,2023-12-19,08:06:08.360
1165768,1,LPR-HIK-JER-51,35.111099,31.718702,2023-12-19,08:11:37.307
1144737,1,LPR-HIK-JER-71,35.2897828,31.7841793,2023-12-19,08:11:42.425
11090503,1,LPR-HIK-JER-70,35.289782,31.784179,2023-12-19,08:12:32.317
1165768,1,LPR-HIK-JER-121,35.119739,31.716478,2023-12-19,08:12:45.566
1144737,1,LPR-HIK-JER-159,35.263855,31.783369,2023-12-19,08:13:55.688
1036887,4,33_81,35.031632,31.945002,2023-12-19,16:05:57.888
11090503,1,LPR-HIK-JER-161,35.263855,31.783369,2023-12-19,08:14:16.458
1002939,1,LPR-HIK-SHY-29-1,35.510212,32.126118,2023-12-19,16:08:50.604
1002939,4,9904_02,NULL,NULL,2023-12-19,16:08:57.255
1128237,1,LPR-HIK-JER-13,35.19439,31.80083,2023-12-19,08:15:11.663
1053837,4,184_93,35.13282,32.113049,2023-12-19,08:18:43.029
1054379,4,30_901,35.157733,31.704161,2023-12-19,08:20:44.025
1064034,1,LPR-HIK-JER-28-1,35.224568,31.853262,2023-12-19,08:27:03.432
1165768,1,LPR-HIK-JER-77,35.1227,31.7134,2023-12-19,08:31:40.106
10884801,1,LPR-HIK-MKZ-252,35.00765,32.10786,2023-12-19,16:15:08.693
1123433,1,LPR-HIK-JER-3,35.191073,31.72583,2023-12-19,08:34:30.370
11612103,1,LPR-HIK-JER-1,35.252192,31.827897,2023-12-19,08:35:44.631
1002939,1,LPR-HIK-SHY-25,35.463757,32.048606,2023-12-19,16:16:10.877
1002939,1,LPR-HIK-SHY-22-2,35.463311,32.046753,2023-12-19,16:16:22.052
1164666,1,LPR-HIK-JER-13,35.19439,31.80083,2023-12-19,08:42:32.641
1037731,1,LPR-HIK-JER-1,35.252192,31.827897,2023-12-19,08:43:46.331
1002939,4,4140_82,35.445775,32.022748,2023-12-19,16:18:40.340
1123433,4,201_92,35.15971613,31.68576269,2023-12-19,08:45:24.864
11395901,1,Site9WestRear1,35.1171642835436,31.6551600851793,2023-12-19,08:48:30.897
11318703,1,LPR-HIK-JER-27,35.17641,31.743485,2023-12-19,08:48:34.396
11395901,1,Site9NorthRear1,35.1163243338085,31.655826334261,2023-12-19,08:48:40.805
11318703,1,LPR-HIK-JER-131,35.170835,31.742552,2023-12-19,08:49:14.436
11395901,4,159_93,35.106345,31.675219,2023-12-19,08:51:19.934
11395901,4,159_92,35.106345,31.675219,2023-12-19,08:51:23.254
1015661,1,LPR-HIK-JER-130-2,35.221492,31.860571,2023-12-19,08:52:23.204
1053837,4,34_90,35.1348,32.10277,2023-12-19,16:26:16.716
1015661,1,LPR-HIK-JER-130-1,35.221492,31.860571,2023-12-19,08:53:06.964
11395901,4,1168_82,35.0742,31.6693,2023-12-19,08:54:25.888
1139539,1,Site65111EastFront,35.140477,32.10947,2023-12-19,08:54:53.006
11612103,1,Site2-35152NorthFront,31.910856,35.250192,2023-12-19,08:54:58.251
11395901,1,LPR-HIK-JER-68,35.05324,31.67078,2023-12-19,08:56:16.059
1029087,4,136_93,35.289894,31.767723,2023-12-19,08:57:20.354
1139539,1,Site66KikarFront1,35.16501,32.10894,2023-12-19,08:57:32.101
11612103,4,0639_91,35.2378992,31.9184311,2023-12-19,08:57:35.309
1139539,1,Site66SouthWestFront,35.16486,32.109089,2023-12-19,08:57:36.878
11395901,1,LPR-HIK-JER-83-1,35.0062,31.6753,2023-12-19,09:00:18.223
1022939,1,LPR-HIK-JER-161,35.263855,31.783369,2023-12-19,09:00:20.361
1139539,1,Site66WestFront1,35.165001,32.109673,2023-12-19,09:06:35.795
1030385,4,992_901,35.004,31.378,2023-12-19,09:13:50.036
1015661,1,LPR-HIK-JER-28-1,35.224568,31.853262,2023-12-19,09:17:16.313
1030385,1,LPR-HIK-DRM-157,34.934131,31.345369,2023-12-19,09:17:59.072
1030385,1,LPR-HIK-DRM-6,34.933608,31.343694,2023-12-19,09:18:07.578
1000963,1,LPR-HIK-JER-70,35.289782,31.784179,2023-12-19,16:44:41.670
1060371,4,30_901,35.157733,31.704161,2023-12-19,09:20:54.250
11169003,1,LPR-HIK-JER-70,35.289782,31.784179,2023-12-19,09:23:27.724
1029087,4,8222_92,35.4902746352768,31.7992742802347,2023-12-19,09:24:57.233
1000963,1,LPR-HIK-JER-58-1,35.263174,31.783818,2023-12-19,16:47:01.109
11169003,1,LPR-HIK-JER-159,35.263855,31.783369,2023-12-19,09:25:30.135
1022939,1,LPR-HIK-JER-13,35.19439,31.80083,2023-12-19,09:33:04.990
11329903,1,LPR-HIK-JER-32-1,35.216183,31.860145,2023-12-19,09:35:15.791
11329903,1,LPR-HIK-JER-26,35.17698,31.87185,2023-12-19,09:37:57.340
1053837,4,34_90,35.1348,32.10277,2023-12-19,09:38:40.169
11248501,4,201_93,35.15971613,31.68576269,2023-12-19,09:42:36.015
10810602,1,LPR-HIK-MKZ-3,35.005095,32.040869,2023-12-19,09:42:47.086
11329903,1,LPR-HIK-MKZ-20,35.043621,31.896993,2023-12-19,09:45:04.162
1000963,1,LPR-HIK-JER-58-2,35.263174,31.783818,2023-12-19,17:00:54.779
11169003,1,LPR-HIK-JER-26,35.17698,31.87185,2023-12-19,09:47:28.539
